,0,1,2,3,4,5,6,7,8,9,10,11,12,13
171,1,5,3,5,4,2,1,4,0,2,3,5,1,1
172,2,5,2,4,2,4,1,4,1,3,1,3,1,2
173,1,5,1,2,3,5,1,5,1,3,1,2,1,1
174,2,5,2,3,4,5,1,4,0,3,,5,2,4
175,2,3,5,6,1,4,1,1,0,2,3,7,1,6
176,2,3,4,4,9,5,1,3,1,3,1,7,1,2
177,1,5,3,6,1,2,1,1,0,2,1,7,1,6
178,2,1,5,4,4,1,2,3,1,1,1,7,1,5
179,1,1,4,5,2,2,2,5,3,2,3,3,1,5
180,2,1,7,3,8,5,3,2,0,1,1,7,1,6
181,1,1,2,3,3,,2,3,1,2,3,7,1,3
182,1,1,4,4,1,5,2,5,3,1,1,2,1,8
183,2,1,3,4,1,5,2,2,0,2,3,5,1,8
184,2,1,6,3,8,5,3,9,4,1,,5,1,4
185,1,5,3,5,1,5,1,7,0,3,1,2,3,9
186,1,5,3,3,,2,1,1,0,2,1,7,1,5
187,2,5,1,,5,,1,5,6,2,5,5,2,4
188,1,5,5,3,3,,1,1,0,2,4,7,1,4
189,2,1,6,4,5,5,1,2,0,1,1,5,2,7
190,1,5,2,,6,2,1,4,0,,1,7,1,1
191,2,2,5,4,4,5,1,2,0,1,1,7,1,5
192,2,1,3,6,1,4,2,2,0,1,1,2,1,9
193,1,5,2,3,2,5,1,4,1,3,1,2,1,2
194,2,1,2,5,6,5,3,2,0,2,3,7,1,1
195,1,5,3,5,1,5,1,1,0,2,3,7,1,5
196,2,5,3,5,1,4,1,1,0,2,3,3,1,4
197,1,5,2,5,2,5,1,3,0,3,4,7,1,1
198,2,5,3,6,1,,1,1,0,2,3,7,1,5
199,2,5,2,3,2,4,1,,0,2,3,5,2,2
200,2,1,4,6,1,4,2,4,2,1,1,7,1,5
201,1,5,2,3,2,4,1,4,1,3,1,3,1,8
202,2,5,2,3,6,5,1,1,0,2,3,7,1,1
203,1,1,5,4,1,5,2,4,2,1,1,7,1,8
204,2,1,3,4,1,5,2,3,1,2,1,7,1,8
205,2,1,7,3,8,5,3,2,0,1,4,7,1,5
206,1,1,4,4,3,5,2,4,2,1,1,7,1,6
207,2,1,5,3,1,5,2,2,0,1,1,7,1,8
208,2,1,3,3,1,3,2,5,2,1,1,7,1,7
209,1,3,4,3,1,3,1,5,2,1,2,7,1,9
210,2,3,6,3,4,5,1,5,3,1,,3,1,5
211,1,3,5,4,7,3,1,1,0,2,1,7,1,8
212,2,5,1,1,6,3,1,4,2,3,2,2,1,1
213,2,5,3,5,1,5,1,1,0,2,3,7,1,3
214,1,5,4,5,1,,1,1,0,1,1,7,1,9
215,1,1,3,3,7,4,2,2,0,2,3,7,1,4
216,2,1,6,5,8,5,3,2,0,1,1,5,1,8
217,2,4,6,2,8,5,1,2,0,1,1,7,1,1
218,2,1,5,4,8,5,3,2,0,1,1,7,1,7
219,2,5,2,3,5,5,1,2,1,2,3,3,1,1
220,1,5,1,2,4,5,1,5,1,1,1,2,1,7
221,2,5,1,2,6,5,1,4,2,3,1,7,1,1
222,1,5,2,5,6,5,1,1,0,2,1,7,1,2
223,2,5,1,1,6,4,1,2,1,3,3,5,2,1
224,2,1,3,5,1,1,2,2,0,2,3,7,1,7
225,1,5,2,4,6,4,1,4,1,3,1,1,1,2
226,2,5,3,,1,2,1,2,0,1,1,7,1,9
227,1,5,3,4,1,1,1,1,0,1,1,5,1,5
228,2,3,5,4,1,,1,4,0,1,2,7,1,5
229,1,1,5,3,8,5,3,4,0,1,1,5,2,7
230,1,5,3,5,1,4,1,1,0,2,3,7,1,6
231,1,5,2,3,3,5,1,3,0,1,1,7,1,2
232,1,5,2,3,6,5,1,6,0,2,1,6,1,4
233,1,1,4,4,1,5,2,4,2,1,1,7,1,4
234,2,1,3,4,3,5,2,4,2,1,1,3,1,3
235,2,1,3,4,9,5,3,6,4,2,3,5,1,2
236,2,1,3,5,1,4,2,3,1,1,1,7,1,9
237,2,4,7,5,8,5,1,1,0,2,3,7,1,6
238,2,1,3,4,2,,1,2,0,1,1,7,1,9
239,1,1,6,5,1,5,2,3,0,1,1,2,1,8
240,1,4,2,3,6,,1,4,0,3,1,2,3,9
241,2,5,1,2,9,5,1,4,2,3,1,7,1,1
242,1,5,2,4,1,3,1,7,3,3,1,2,3,1
243,2,4,7,3,8,5,1,1,0,1,1,7,1,1
244,2,1,4,4,1,4,2,3,1,2,1,7,1,9
245,2,1,5,6,1,5,2,3,1,1,1,7,1,9
246,1,1,2,4,3,3,3,7,3,3,3,5,2,2
247,2,2,2,3,1,4,1,2,0,2,1,7,1,4
248,2,5,4,3,4,5,1,1,0,2,1,7,1,4
249,2,3,3,3,3,3,1,1,0,2,3,5,1,3
250,2,3,4,4,4,5,1,1,0,2,3,7,1,3
251,1,5,2,3,4,5,1,4,0,3,1,7,1,6
252,2,5,2,3,2,5,1,4,1,3,1,7,1,8
253,1,3,5,5,2,2,1,1,0,2,5,7,1,1
254,2,2,2,5,6,3,1,2,0,2,3,2,3,3
255,1,1,5,5,4,5,2,2,0,2,3,7,1,7
256,2,5,1,2,2,4,1,6,4,3,1,5,1,1
257,2,5,1,3,2,5,1,3,1,3,1,5,1,1
258,1,5,3,4,6,4,1,,0,2,5,7,1,4
259,2,5,3,4,6,,1,2,1,2,3,7,1,1
260,1,4,4,6,1,5,1,2,0,2,3,7,1,5
261,2,1,6,4,1,5,3,,0,2,3,7,1,3
262,2,1,5,6,1,2,2,4,0,1,1,7,1,8
263,2,1,4,4,4,5,2,4,2,1,1,7,1,8
264,1,4,6,4,3,5,1,1,0,2,3,7,,5
265,2,5,2,4,6,3,1,4,1,1,1,2,1,1
266,2,1,3,4,5,5,3,2,0,1,5,7,1,7
267,2,3,4,4,4,5,1,2,0,1,1,7,1,3
268,2,1,4,6,1,,2,4,2,1,1,7,1,8
269,1,2,3,5,4,1,1,6,4,2,1,7,1,4
270,2,1,6,5,2,5,2,2,0,1,1,7,1,8
271,2,2,2,3,2,1,1,2,0,2,,7,1,1
272,2,1,3,3,2,5,2,2,1,2,3,3,1,1
273,2,5,2,5,1,5,1,4,0,1,1,8,1,9
274,1,,5,4,3,5,2,4,2,1,1,2,1,8
275,2,1,4,6,1,4,2,2,0,2,3,7,1,6
276,1,5,1,2,6,4,1,3,1,3,5,7,1,1
277,2,1,3,5,1,4,2,2,0,2,3,7,1,4
278,1,4,7,3,8,5,1,1,0,2,4,7,,4
279,2,5,3,4,4,1,1,4,0,2,3,7,1,6
280,1,1,4,4,7,4,2,2,0,3,1,3,1,7
281,1,5,2,4,2,5,1,3,1,3,1,7,1,3
282,2,5,5,5,1,5,1,1,0,1,1,7,1,6
283,1,1,4,5,4,5,2,4,2,2,3,2,1,6
284,2,,3,5,1,5,1,1,0,2,3,8,1,5
285,1,5,3,5,2,5,1,,0,2,2,5,1,5
286,2,5,1,3,9,4,1,3,1,3,1,7,1,5
287,2,1,4,4,2,4,2,3,1,1,1,7,1,9
288,2,1,7,4,8,5,3,2,0,1,,7,1,5
289,2,1,4,4,5,2,3,4,2,2,1,7,1,9
290,2,1,7,6,1,5,3,2,0,1,2,7,1,6
291,2,5,3,4,1,2,1,1,0,2,1,7,1,2
292,2,1,6,5,8,5,1,2,0,1,1,,1,8
293,2,1,5,4,4,5,2,5,0,2,1,3,1,7
294,2,5,3,4,2,5,1,3,2,1,1,,,3
295,1,5,2,4,7,2,1,2,0,,5,7,1,2
296,1,2,3,6,1,3,1,2,0,2,2,7,3,7
297,2,5,2,4,6,5,1,3,0,3,1,7,1,1
298,2,5,1,1,6,5,1,4,1,3,1,3,1,1
299,2,5,1,2,2,5,1,3,2,3,1,7,1,2
300,1,2,2,4,1,5,1,2,0,2,5,8,1,4
301,2,1,7,3,8,5,3,2,0,1,1,7,1,6
302,1,5,1,2,6,3,1,5,3,3,1,4,1,1
303,1,5,2,5,1,2,1,5,0,2,1,7,1,3
304,2,1,3,4,2,5,2,5,3,1,1,7,1,7
305,1,5,2,5,1,1,1,3,0,2,3,2,1,3
306,2,1,6,6,5,5,2,2,0,1,1,7,1,9
307,2,1,4,6,5,3,3,5,0,1,1,7,1,8
308,1,1,5,4,1,3,2,5,3,1,1,7,1,9
309,2,1,4,6,1,5,2,3,1,2,1,7,1,8
310,1,5,3,3,7,2,1,1,0,2,3,7,1,2
311,1,1,3,4,3,5,3,5,3,2,1,2,1,7
312,2,1,4,6,1,5,2,4,2,1,1,7,1,9
313,1,1,2,4,6,1,3,2,0,2,3,7,3,1
314,1,3,4,3,3,5,1,3,2,1,2,8,1,7
315,2,1,3,4,2,5,2,3,1,2,3,7,1,6
316,1,1,4,5,4,,2,2,0,2,2,5,1,6
317,1,5,2,4,3,5,1,1,0,2,3,7,1,3
318,1,1,5,6,1,5,2,2,0,1,1,7,1,9
319,1,5,2,4,6,1,1,,0,2,3,7,1,1
320,2,1,3,5,1,2,2,5,0,2,3,5,2,1
321,1,5,2,4,2,5,1,1,0,2,3,3,1,5
322,2,3,3,4,5,,1,5,3,2,1,7,1,5
323,2,2,4,3,4,5,1,2,0,2,3,7,1,6
324,2,1,4,3,2,5,2,3,1,1,1,5,3,4
325,1,5,1,1,6,,1,4,2,3,1,1,1,1
326,1,1,6,4,1,5,3,4,1,,1,1,1,7
327,2,4,7,3,8,5,1,1,0,1,1,7,1,5
328,1,1,4,6,1,4,2,4,0,1,1,7,1,9
329,1,3,4,4,1,5,1,1,1,2,3,7,1,7
330,1,5,1,2,6,4,1,3,1,3,1,7,1,1
331,2,1,4,4,1,5,2,3,1,1,1,7,1,8
332,2,1,3,4,1,5,3,3,1,2,1,7,1,4
333,2,1,4,6,,5,2,4,2,1,1,8,1,4
334,1,1,3,4,7,2,2,2,0,2,3,5,1,6
335,2,3,3,3,6,5,1,2,1,2,3,3,1,3
336,2,2,6,6,1,5,1,2,0,1,1,7,1,6
337,2,1,4,5,2,5,2,3,1,1,1,7,1,9
338,1,1,5,4,1,5,3,4,1,1,1,7,1,7
339,2,1,4,4,1,5,2,2,0,1,1,7,1,8
340,2,2,1,1,6,5,1,5,2,3,1,5,1,1
341,1,1,3,4,3,5,2,6,4,2,1,5,1,6
342,2,5,2,3,2,4,1,3,0,2,5,8,1,2
343,1,2,3,5,4,5,2,2,0,,3,3,1,4
344,1,5,2,4,2,5,1,9,2,2,1,5,2,5
345,2,2,4,5,2,5,2,2,0,2,5,7,1,9
346,2,4,5,3,3,5,1,3,0,2,1,5,2,5
347,2,3,3,6,6,2,1,3,0,1,1,7,1,9
348,1,5,3,4,1,4,1,1,0,2,1,7,1,9
349,1,5,2,4,1,4,1,5,0,3,1,7,1,8
350,2,1,3,4,1,5,2,3,1,2,2,3,1,7
351,1,5,2,4,3,5,1,6,0,3,1,2,1,4
352,2,3,4,6,1,1,1,1,0,1,2,7,1,8
353,2,,1,2,6,2,1,3,1,3,3,3,1,1
354,2,5,1,1,6,5,1,3,2,3,3,7,1,1
355,1,1,5,5,1,5,2,5,1,1,1,7,1,8
356,2,4,7,4,1,5,1,1,0,2,3,7,1,5
357,2,2,3,6,4,4,2,2,0,2,3,7,1,7
358,2,1,7,4,5,5,3,2,0,1,1,7,1,4
359,1,,6,4,8,4,3,,0,2,,7,1,1
360,2,1,7,3,5,5,3,2,0,1,1,7,1,2
361,2,5,2,3,6,4,1,4,1,3,2,7,1,1
362,2,5,2,3,9,5,1,6,2,3,,5,1,1
363,1,5,3,4,3,3,1,3,0,2,1,7,1,1
364,2,5,3,6,6,5,1,7,1,3,1,7,1,1
365,1,5,5,2,4,4,1,1,0,2,3,7,1,3
366,2,3,5,4,4,5,1,2,0,1,2,6,1,4
367,1,,1,1,6,5,1,7,4,3,1,7,1,1
368,1,3,3,4,1,5,1,1,0,2,1,1,1,3
369,1,1,3,3,3,2,2,3,1,1,1,7,1,9
370,2,5,1,1,6,3,1,4,1,3,1,7,1,1
371,2,1,6,6,1,5,2,2,0,1,1,7,1,7
372,2,1,2,3,2,,2,2,0,1,1,5,1,6
373,2,5,1,2,6,5,1,3,1,3,1,1,1,1
374,1,5,3,4,1,2,1,3,0,2,1,2,1,4
375,1,3,3,3,4,5,1,6,0,1,,3,1,6
376,2,5,1,1,6,5,1,4,2,3,1,7,1,1
377,1,1,3,3,2,5,2,9,2,2,1,5,1,1
378,2,5,3,4,4,3,1,3,1,2,1,7,1,3
379,1,1,7,4,8,,3,2,0,1,1,7,1,8
380,1,3,5,3,,5,1,1,1,2,3,5,1,2
381,2,5,2,4,6,,1,3,0,3,1,7,1,7
382,2,3,5,5,1,,1,1,0,2,5,7,1,6
383,2,5,3,4,4,2,1,2,0,2,3,7,1,3
384,2,1,4,4,1,5,2,5,3,1,1,7,1,8
385,1,1,4,4,1,,2,2,1,1,1,3,1,6
386,2,3,4,6,1,4,1,1,0,1,2,7,1,7
387,1,5,2,3,6,2,1,5,0,2,5,8,1,5
388,1,3,3,3,3,5,1,5,3,1,1,1,1,7
389,2,3,4,3,5,5,1,5,3,2,1,7,1,3
390,1,5,3,5,1,2,1,2,0,2,3,7,1,9
391,2,4,4,6,1,5,1,3,2,1,1,7,1,8
392,2,3,3,4,4,5,1,2,0,2,3,7,1,6
393,2,5,1,2,6,,1,4,3,3,4,7,1,1
394,2,5,3,6,1,2,1,1,0,2,3,7,1,4
395,1,5,3,6,1,5,1,3,0,3,1,7,1,6
396,1,5,2,4,6,5,1,7,0,2,3,2,1,7
397,1,3,4,4,4,4,1,3,0,2,1,7,1,9
398,2,5,2,5,1,5,1,1,0,2,3,7,1,3
399,1,5,3,5,1,3,1,1,0,1,5,7,1,7
400,2,5,3,4,1,5,1,2,0,1,2,3,1,4
401,1,5,2,4,1,4,1,4,1,3,1,2,1,2
402,1,5,2,4,6,3,1,2,0,2,3,7,1,2
403,2,5,4,4,1,5,1,1,0,2,1,7,1,7
404,2,5,3,5,1,2,1,1,0,2,3,7,1,5
405,1,5,3,5,6,5,1,1,0,2,3,7,1,6
406,1,1,6,4,8,5,3,2,0,1,1,7,1,6
407,1,1,4,6,1,2,3,2,0,1,1,7,1,9
408,2,1,5,4,4,5,2,2,0,1,1,7,1,6
409,2,3,5,6,1,5,1,1,0,1,1,7,1,7
410,1,5,2,4,6,5,1,4,0,3,1,7,1,9
411,1,1,4,5,1,5,2,3,1,1,1,7,1,9
412,2,1,5,4,5,5,3,2,0,1,1,7,1,9
413,1,1,7,6,8,5,3,2,0,1,1,7,1,9
414,2,5,3,4,4,5,1,2,1,2,4,5,1,1
415,1,1,5,6,4,5,2,4,2,2,1,7,,7
416,2,1,6,3,1,4,3,3,0,1,1,7,1,9
417,2,1,5,4,5,5,3,3,0,1,1,7,1,8
418,2,1,4,3,5,5,3,6,4,1,1,7,1,9
419,1,5,3,5,1,2,1,1,0,2,3,7,1,5
420,2,3,3,5,1,5,1,2,0,1,1,7,1,7
421,2,5,2,3,4,2,1,4,0,2,5,7,1,1
422,2,3,4,5,1,1,1,1,0,2,2,7,,9
423,1,1,7,5,8,1,3,3,0,1,1,7,1,9
424,2,1,5,4,5,5,3,5,0,1,1,7,1,8
425,1,3,3,3,3,5,1,1,0,2,3,5,1,5
426,2,5,2,3,2,5,1,4,1,3,1,7,3,1
427,1,1,6,4,8,5,3,2,0,1,1,7,1,7
428,1,5,2,3,2,5,1,4,0,3,1,7,1,2
429,2,4,7,3,8,5,1,1,0,1,5,7,1,2
430,1,2,3,4,1,2,1,2,0,1,1,7,1,9
431,2,5,2,4,6,4,1,1,0,2,1,7,1,1
432,1,2,2,4,3,5,2,4,1,2,1,8,1,4
433,2,1,4,4,1,5,2,2,0,2,1,7,1,6
434,1,1,2,4,1,5,2,2,0,1,2,5,1,7
435,1,2,2,4,2,5,1,2,0,,3,5,1,1
436,1,5,3,4,6,5,1,2,0,3,1,7,1,6
437,2,1,5,3,4,5,2,4,1,1,1,7,1,7
438,2,5,2,4,1,4,1,1,0,2,3,7,1,3
439,1,5,3,6,4,4,1,1,0,1,3,7,1,3
440,1,5,4,6,1,5,1,1,0,2,3,5,1,7
441,2,5,3,4,4,5,1,2,0,1,4,7,1,6
442,2,1,4,5,1,5,3,4,1,1,1,3,1,6
443,2,3,4,4,4,5,1,4,1,3,1,7,1,8
444,2,5,2,4,6,,1,4,1,3,1,7,1,8
445,1,1,6,1,8,5,3,4,2,2,1,5,2,1
446,1,3,7,4,8,,1,1,0,1,1,7,1,4
447,2,1,2,4,1,,2,2,2,2,3,2,1,7
448,1,1,4,5,4,3,2,2,0,2,3,7,1,3
449,2,1,4,3,4,5,3,5,3,2,1,7,1,8
450,1,1,5,6,1,5,2,4,1,1,1,7,1,9
451,1,5,2,4,4,5,1,4,1,3,1,7,1,1
452,1,1,2,5,1,2,2,3,1,2,1,7,1,5
453,2,1,3,4,5,5,3,6,4,2,3,7,1,5
454,1,5,3,6,2,1,1,1,0,2,3,7,1,5
455,1,5,3,5,1,5,1,1,0,2,3,7,1,5
456,2,5,2,4,3,5,1,5,0,1,1,5,1,9
457,2,5,2,4,6,4,1,,0,2,2,7,1,1
458,2,5,2,3,9,4,1,3,1,3,1,5,2,1
459,2,4,7,3,8,5,1,1,0,1,4,7,1,4
460,1,5,4,6,1,5,1,1,0,1,1,7,1,8
461,2,5,2,5,9,5,1,2,0,3,1,3,1,3
462,2,5,2,3,2,5,1,5,0,3,1,5,1,1
463,2,5,2,4,6,5,1,5,0,3,1,7,1,1
464,2,1,5,4,6,,3,3,0,1,1,7,1,6
465,2,1,4,3,5,5,2,4,2,1,1,7,,5
466,1,1,7,4,1,5,3,2,0,1,1,7,1,8
467,2,1,6,6,1,5,2,4,2,1,1,7,1,9
